epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,28363.3,1.20132,0.5137,1.32397,0.9536,0.90349,0.95954,0.62857,1.27124,0.54293,1.63918,0.005644,0.005644,0.005644
134,28576.7,1.2002,0.51085,1.33144,0.95312,0.90373,0.95941,0.62889,1.27085,0.5425,1.63888,0.005611,0.005611,0.005611
135,28790.3,1.1808,0.50738,1.3153,0.95206,0.90448,0.9591,0.62942,1.27081,0.54279,1.63877,0.005578,0.005578,0.005578
136,29003,1.19275,0.50897,1.32413,0.95124,0.90436,0.95891,0.62978,1.27038,0.54274,1.63837,0.005545,0.005545,0.005545
137,29216.7,1.18318,0.5054,1.3175,0.95102,0.90513,0.95934,0.62996,1.2699,0.54235,1.63799,0.005512,0.005512,0.005512
138,29430.2,1.19103,0.51131,1.32576,0.95075,0.90508,0.95927,0.63007,1.27003,0.54249,1.63806,0.005479,0.005479,0.005479
139,29643,1.18924,0.50737,1.32184,0.95177,0.90436,0.95896,0.63025,1.27043,0.54291,1.6383,0.005446,0.005446,0.005446
140,29855.8,1.19945,0.51286,1.33108,0.95081,0.90484,0.95901,0.63049,1.27024,0.54303,1.638,0.005413,0.005413,0.005413
141,30069.1,1.18495,0.50376,1.31899,0.95213,0.904,0.95918,0.63072,1.27014,0.54346,1.63788,0.00538,0.00538,0.00538
142,30282.3,1.19521,0.51269,1.32322,0.95287,0.90344,0.95927,0.63093,1.26953,0.54349,1.63737,0.005347,0.005347,0.005347
143,30494.8,1.18247,0.5036,1.32186,0.9531,0.90267,0.95911,0.6313,1.26883,0.54319,1.63684,0.005314,0.005314,0.005314
144,30707.4,1.17712,0.50312,1.31534,0.95352,0.90267,0.95937,0.63122,1.26855,0.54318,1.63664,0.005281,0.005281,0.005281
145,30921,1.18343,0.5094,1.32342,0.95432,0.90195,0.95966,0.63144,1.26806,0.54337,1.6362,0.005248,0.005248,0.005248
146,31133.8,1.1747,0.50227,1.30888,0.95423,0.90255,0.95967,0.63145,1.26793,0.54385,1.63588,0.005215,0.005215,0.005215
147,31346.7,1.17831,0.49696,1.31488,0.95511,0.90221,0.95968,0.63192,1.26768,0.54378,1.6356,0.005182,0.005182,0.005182
148,31559.2,1.17879,0.49966,1.31579,0.95502,0.90289,0.9596,0.63227,1.26735,0.54386,1.63532,0.005149,0.005149,0.005149
149,31772.2,1.1843,0.50748,1.31363,0.95523,0.90213,0.95947,0.63218,1.26745,0.54404,1.6354,0.005116,0.005116,0.005116
150,31984.8,1.18884,0.50826,1.32641,0.95538,0.90263,0.95962,0.63263,1.26717,0.54438,1.63522,0.005083,0.005083,0.005083
151,32197.6,1.18407,0.50591,1.31633,0.95451,0.90227,0.9596,0.63239,1.26737,0.54488,1.63539,0.00505,0.00505,0.00505
152,32410.5,1.18018,0.50346,1.31688,0.95487,0.90243,0.95995,0.63289,1.26688,0.54523,1.63487,0.005017,0.005017,0.005017
153,32623.1,1.17402,0.50071,1.31339,0.95498,0.902,0.9598,0.63342,1.26662,0.54524,1.63456,0.004984,0.004984,0.004984
154,32836.3,1.18068,0.50105,1.31811,0.95513,0.90249,0.95994,0.63338,1.26625,0.54558,1.63429,0.004951,0.004951,0.004951
155,33049.7,1.16909,0.49126,1.30534,0.95538,0.90266,0.96024,0.63342,1.26617,0.5458,1.63429,0.004918,0.004918,0.004918
156,33262.9,1.17348,0.5039,1.32124,0.9555,0.90264,0.96024,0.6337,1.26585,0.5461,1.63409,0.004885,0.004885,0.004885
157,33475.9,1.17436,0.4995,1.31184,0.95508,0.90291,0.96037,0.63389,1.26607,0.54657,1.63424,0.004852,0.004852,0.004852
158,33689,1.17273,0.50066,1.30402,0.95528,0.90305,0.9603,0.63381,1.26569,0.54661,1.63394,0.004819,0.004819,0.004819
159,33901.1,1.16906,0.49721,1.31444,0.95599,0.9027,0.96036,0.63347,1.26532,0.54684,1.63367,0.004786,0.004786,0.004786
160,34113.8,1.17066,0.49784,1.30317,0.95586,0.90241,0.96034,0.63379,1.26515,0.54709,1.63352,0.004753,0.004753,0.004753
161,34326.6,1.17287,0.49481,1.3082,0.95658,0.90236,0.96037,0.63424,1.26481,0.5475,1.63317,0.00472,0.00472,0.00472
162,34539.4,1.16598,0.50068,1.31057,0.95766,0.90176,0.96039,0.63466,1.26475,0.54799,1.63326,0.004687,0.004687,0.004687
163,34752.2,1.16784,0.49143,1.31309,0.95756,0.90099,0.96038,0.6345,1.26466,0.54832,1.63324,0.004654,0.004654,0.004654
164,34965.2,1.15839,0.4925,1.30039,0.95774,0.90089,0.96049,0.6345,1.26479,0.54889,1.63332,0.004621,0.004621,0.004621
165,35178.1,1.16596,0.49192,1.30969,0.95809,0.90111,0.96052,0.63463,1.26413,0.5494,1.63274,0.004588,0.004588,0.004588
166,35391,1.16636,0.49185,1.30857,0.9593,0.90051,0.96036,0.63462,1.26424,0.55018,1.63278,0.004555,0.004555,0.004555
167,35603.9,1.16075,0.48908,1.30289,0.95918,0.90014,0.96013,0.63451,1.26459,0.55061,1.6331,0.004522,0.004522,0.004522
168,35816.1,1.1669,0.49044,1.30658,0.95906,0.90014,0.9601,0.63467,1.26454,0.55079,1.6332,0.004489,0.004489,0.004489
169,36029.1,1.16614,0.49315,1.30674,0.95972,0.8993,0.96022,0.63468,1.2648,0.55101,1.63338,0.004456,0.004456,0.004456
170,36241.9,1.16246,0.49241,1.30779,0.95975,0.89892,0.96021,0.63492,1.26456,0.55132,1.63322,0.004423,0.004423,0.004423
171,36455.3,1.16957,0.49389,1.31001,0.95963,0.8991,0.96027,0.63502,1.26443,0.55154,1.63324,0.00439,0.00439,0.00439
172,36668.1,1.15727,0.49152,1.30014,0.95985,0.89844,0.96051,0.63528,1.26421,0.55187,1.63319,0.004357,0.004357,0.004357
173,36880.7,1.14586,0.4838,1.29581,0.95948,0.89851,0.96027,0.63549,1.26401,0.55208,1.63314,0.004324,0.004324,0.004324
174,37093.5,1.15163,0.48317,1.30304,0.95909,0.89798,0.9601,0.63602,1.26382,0.55221,1.63299,0.004291,0.004291,0.004291
175,37306.5,1.16144,0.4908,1.30758,0.95922,0.89749,0.95996,0.63635,1.2634,0.55241,1.63267,0.004258,0.004258,0.004258
176,37519.7,1.14816,0.47951,1.29961,0.95915,0.89749,0.95976,0.63656,1.26284,0.55275,1.63228,0.004225,0.004225,0.004225
